gene,frequency
Dh44-R1,0.0
Dh31,0.0
dgt6,0.0
Debcl,0.0
Dcr-2,0.0
dbr,0.0
Dbp73D,0.0
DIP-alpha,0.0
ebd2,0.0
eag,0.0
Eaat1,0.0
E2f1,0.0
e,0.0
Dyb,0.0
Dsp1,0.0
dsf,0.0
Dscam3,0.0
Dscam2,0.0
Drsl5,0.0
Drl-2,0.0
Dop1R1,0.0
Drat,0.0
dpy,0.0
dpr9,0.0
dpr6,0.0
dpr21,0.0
dpr20,0.0
dpr17,0.0
dpr12,0.0
dpr1,0.0
DOR,0.0
DopEcR,0.0
Dop2R,0.0
Dop1R2,0.0
dre4,0.0
Hr39,0.0
Hr38,0.0
hppy,0.0
how,0.0
holn1,0.0
hoip,0.0
hoe1,0.0
Hnf4,0.0
Hn,0.0
hkb,0.0
Hk,0.0
HisCl1,0.0
g,0.0
His2B:CG33882,0.0
His2B:CG33868,0.0
His2B:CG17949,0.0
hfw,0.0
Hey,0.0
Hexo1,0.0
Hex-A,0.0
HERC2,0.0
her,0.0
HEATR2,0.0
hdm,0.0
hdc,0.0
HDAC6,0.0
His3.3A,0.0
ImpL2,0.0
Imp,0.0
IM2,0.0
Ih,0.0
Ids,0.0
Idh,0.0
Idgf6,0.0
Idgf3,0.0
Idgf2,0.0
Ibf1,0.0
IA-2,0.0
I-3,0.0
Hs3st-A,0.0
hth,0.0
Hsp70Bc,0.0
Hsp70Ab,0.0
Hsp70Aa,0.0
Hsp68,0.0
Hsp60D,0.0
Hsp27,0.0
Hsp23,0.0
Hsl,0.0
Hsf,0.0
Hsc70Cb,0.0
Hsc70-4,0.0
Hsc70-3,0.0
htl,0.0
Gr77a,0.0
Gprk2,0.0
Gp210,0.0
gom,0.0
GNBP3,0.0
Gmd,0.0
GlyRS,0.0
GluRIB,0.0
GluRIA,0.0
GluClalpha,0.0
Gli,0.0
Gld,0.0
HDAC1,0.0
GILT1,0.0
gfzf,0.0
Gfat1,0.0
Gen,0.0
Gel,0.0
gcl,0.0
GC,0.0
Gat,0.0
garz,0.0
Galphai,0.0
GalNAc-T1,0.0
Gad1,0.0
GABA-B-R1,0.0
GlcAT-P,0.0
hd,0.0
hbn,0.0
Hasp,0.0
H15,0.0
Gyc89Db,0.0
Gyc88E,0.0
GstT3,0.0
GstO3,0.0
GstO1,0.0
GstE9,0.0
GstE7,0.0
GstE6,0.0
GstE4,0.0
Gr93a,0.0
GstE2,0.0
GstE11,0.0
GstE1,0.0
GstD9,0.0
GstD6,0.0
GstD3,0.0
GstD11,0.0
GstD1,0.0
Gs2,0.0
grsm,0.0
grk,0.0
grh,0.0
grass,0.0
GstE3,0.0
Ssdp,0.0
Srp72,0.0
srp,0.0
srl,0.0
sr,0.0
sqz,0.0
sqd,0.0
Spt7,0.0
Sps2,0.0
spri,0.0
Spred,0.0
SPR,0.0
Spn88Ea,0.0
Nxf3,0.0
Spn,0.0
sPLA2,0.0
spin,0.0
SPARC,0.0
SP1173,0.0
Sp1,0.0
SoxN,0.0
soti,0.0
sona,0.0
sog,0.0
Sod3,0.0
Sod1,0.0
snRNA:U4:39B,0.0
Spn43Ab,0.0
Taf2,0.0
T48,0.0
Sytbeta,0.0
Sytalpha,0.0
Syt4,0.0
Syt12,0.0
Syp,0.0
Syb,0.0
Swim,0.0
svr,0.0
Svil,0.0
sv,0.0
su(w[a]),0.0
Sse,0.0
sut1,0.0
su(sable),0.0
Surf6,0.0
su(Hw),0.0
Su(H),0.0
Su(dx),0.0
sty,0.0
stwl,0.0
stum,0.0
stops,0.0
Stat92E,0.0
Start1,0.0
stan,0.0
ssp7,0.0
Su(var)3-3,0.0
SIFa,0.0
sif,0.0
side,0.0
sick,0.0
shot,0.0
shn,0.0
Shawl,0.0
shakB,0.0
Shab,0.0
Sgs4,0.0
Sfmbt,0.0
sfl,0.0
sff,0.0
sNPF,0.0
Sf3b1,0.0
Sesn,0.0
SERCA,0.0
Sema1a,0.0
Sec24CD,0.0
Sec24AB,0.0
se,0.0
sdt,0.0
Sdhaf3,0.0
Sdc,0.0
sda,0.0
scyl,0.0
scrt,0.0
scrib,0.0
Sf3b3,0.0
Snp,0.0
snoRNA:U14:30Eb,0.0
snoRNA:Psi28S-3091a,0.0
snoRNA:Or-CD2,0.0
snoRNA:nop5-x16-a,0.0
snoRNA:Me28S-U1848,0.0
snoRNA:Me18S-C1024,0.0
sni,0.0
Snap25,0.0
SmydA-8,0.0
SmydA-7,0.0
Smyd4-1,0.0
Smurf,0.0
sip1,0.0
Smr,0.0
Smox,0.0
smo,0.0
Smg5,0.0
SmD3,0.0
SMC5,0.0
SMC3,0.0
sm,0.0
Slob,0.0
slo,0.0
Slik,0.0
sl,0.0
Sirt7,0.0
Sirt1,0.0
smt3,0.0
Amnionless,0.0
alrm,0.0
alphaTub67C,0.0
alpha-Man-Ia,0.0
alphagamma-element:CR32865,0.0
alpha-Est8,0.0
alpha-Est1,0.0
Alk,0.0
Ald,0.0
Akh,0.0
Akap200,0.0
AGO3,0.0
Adk3,0.0
Taf4,0.0
ADD1,0.0
Ada1-2,0.0
Actn,0.0
Act57B,0.0
UK114,0.0
Uhg4,0.0
Uhg1,0.0
Ugt86Dj,0.0
Ugt86Dh,0.0
Ugt86Dd,0.0
Ugt86Da,0.0
Ugt58Fa,0.0
Ugt36Bc,0.0
ade3,0.0
Vps8,0.0
Vps13,0.0
vir-1,0.0
vimar,0.0
Victoria,0.0
VhaM9.7-c,0.0
Vha68-2,0.0
VGlut,0.0
ver,0.0
VepD,0.0
Vap33,0.0
Uxs,0.0
Usp8,0.0
ana1,0.0
Usp20-33,0.0
Usp10,0.0
UQCR-6.4,0.0
Upf2,0.0
Updo,0.0
unc-5,0.0
unc-13-4A,0.0
18SrRNA-Psi:CR41602,0.0
apolpp,0.0
ApepP,0.0
AnxB11,0.0
Ank2,0.0
Ance,0.0
ana2,0.0
Usp32,0.0
Topors,0.0
Tomosyn,0.0
Toll-7,0.0
Toll-6,0.0
Tnks,0.0
tna,0.0
TMEM216,0.0
Tmc,0.0
tkv,0.0
Tk,0.0
Tis11,0.0
Tip60,0.0
Timp,0.0
Ugt35b,0.0
THADA,0.0
Tgi,0.0
tey,0.0
Tet,0.0
Ten-m,0.0
Tektin-C,0.0
Teh4,0.0
tefu,0.0
Tctp,0.0
Tasp1,0.0
Tango6,0.0
tamo,0.0
tam,0.0
Taldo,0.0
THG,0.0
Ugt35a,0.0
Ubi-p63E,0.0
Ubi-p5E,0.0
Uba5,0.0
U4-U6-60K,0.0
U3-55K,0.0
tyn,0.0
tut,0.0
tud,0.0
Tsp66E,0.0
Tsp5D,0.0
Tsp42En,0.0
Tsp42Ed,0.0
tos,0.0
Tsf2,0.0
Tsf1,0.0
trv,0.0
trr,0.0
trol,0.0
trn,0.0
Trl,0.0
Trissin,0.0
trio,0.0
Trf4-1,0.0
Trf2,0.0
TpnC25D,0.0
toy,0.0
tow,0.0
Tsp,0.0
Pde6,0.0
Pde1c,0.0
Pcyt2,0.0
pcx,0.0
pcm,0.0
Pax,0.0
Parp,0.0
park,0.0
Parg,0.0
para,0.0
PAN2,0.0
pad,0.0
otp,0.0
Scp2,0.0
OstDelta,0.0
Oseg6,0.0
Osbp,0.0
Ork1,0.0
Orc5,0.0
Or13a,0.0
ome,0.0
omd,0.0
olf413,0.0
ogre,0.0
Octbeta3R,0.0
Octbeta2R,0.0
Octbeta1R,0.0
otk,0.0
POSH,0.0
ple,0.0
Plc21C,0.0
Pkn,0.0
Pkc98E,0.0
Pka-R2,0.0
Pka-R1,0.0
Pka-C3,0.0
Pitslre,0.0
pita,0.0
pit,0.0
PIG-V,0.0
PIG-T,0.0
Pde8,0.0
PIG-G,0.0
Picot,0.0
Phlpp,0.0
ph-d,0.0
pHCl-1,0.0
PH4alphaNE1,0.0
PH4alphaEFB,0.0
PGRP-LC,0.0
PGRP-LA,0.0
Pfrx,0.0
Pex12,0.0
PDZ-GEF,0.0
Pdh,0.0
Pde9,0.0
pigs,0.0
nito,0.0
ninaE,0.0
NimC2,0.0
Nhe2,0.0
Neurl4,0.0
neur,0.0
Nep4,0.0
Nep1,0.0
Nek2,0.0
nec,0.0
neb,0.0
ND-AGGG,0.0
Nct,0.0
obst-E,0.0
NaCP60E,0.0
nAChRalpha7,0.0
nAChRalpha6,0.0
nAChRalpha1,0.0
Naam,0.0
N,0.0
Myt1,0.0
Mys45A,0.0
MYPT-75D,0.0
Myo81F,0.0
Myo31DF,0.0
Myc,0.0
muskelin,0.0
mus304,0.0
Nadsyn,0.0
Obp8a,0.0
Obp83a,0.0
Obp44a,0.0
Obp19d,0.0
Obp19a,0.0
Oatp58Dc,0.0
Oatp33Ea,0.0
Oamb,0.0
Dbp21E2,0.0
Nup358,0.0
Nup214,0.0
Nup205,0.0
Nup153,0.0
Nlg1,0.0
Ntl,0.0
Ns1,0.0
nrv2,0.0
nrm,0.0
Nrg,0.0
Nrd1,0.0
Nplp2,0.0
Nplp1,0.0
NPF,0.0
Npc1a,0.0
norpA,0.0
nopo,0.0
nonA-l,0.0
nom,0.0
nuf,0.0
RpL9,0.0
RpL7A,0.0
RpL41,0.0
RpL39,0.0
RpL32,0.0
RpL31,0.0
RpL3,0.0
RpL29,0.0
RpL27,0.0
RpL24-like,0.0
RpL23A,0.0
RpL18,0.0
roX2,0.0
Poxn,0.0
row,0.0
Rok,0.0
Roe1,0.0
RNaseP:RNA,0.0
RNaseMRP:RNA,0.0
rn,0.0
Rme-8,0.0
Rm62,0.0
r-l,0.0
rk,0.0
Rint1,0.0
rin,0.0
Rim,0.0
roX1,0.0
Scp1,0.0
Scgdelta,0.0
sbr,0.0
Sbf,0.0
sba,0.0
Sas-6,0.0
santa-maria,0.0
sals,0.0
salm,0.0
S,0.0
RyR,0.0
RYa,0.0
rut,0.0
RpLP2,0.0
rumi,0.0
rudhira,0.0
ru,0.0
Rtc1,0.0
Rrp6,0.0
RpS9,0.0
RpS6,0.0
RpS3,0.0
RpS26,0.0
RpS21,0.0
RpS19a,0.0
RpS18,0.0
RpS16,0.0
RpS14b,0.0
RunxB,0.0
Ranbp11,0.0
Rad60,0.0
Rab32,0.0
Rab27,0.0
qvr,0.0
qm,0.0
pyd,0.0
Pxn,0.0
Pvf3,0.0
Pur-alpha,0.0
Ptx1,0.0
Ptp99A,0.0
Ptp69D,0.0
rig,0.0
ptc,0.0
psq,0.0
psd,0.0
Prx6005,0.0
pros,0.0
pre-rRNA:CR45847,0.0
pre-rRNA:CR45845,0.0
pre-mod(mdg4)-B,0.0
prage,0.0
ppk27,0.0
ppk21,0.0
ppan,0.0
Ppa,0.0
Pp4-19C,0.0
Ptip,0.0
Rif1,0.0
Rhp,0.0
RhoGEF2,0.0
RhoGAP54D,0.0
RhoGAP102A,0.0
RhoGAP100F,0.0
rho,0.0
Rh7,0.0
Rh5,0.0
Rh4,0.0
Rh2,0.0
rgn,0.0
Rgk3,0.0
RapGAP1,0.0
RfC3,0.0
Rev1,0.0
retn,0.0
REPTOR,0.0
Reps,0.0
ref(2)P,0.0
Rdh,0.0
rdgA,0.0
Rbp6,0.0
Rbp1-like,0.0
Rbp,0.0
Rbfox1,0.0
Rbf,0.0
RasGAP1,0.0
Rgk2,0.0
CG17108,0.0
CG17075,0.0
CG1703,0.0
CG17028,0.0
CG17018,0.0
CG16947,0.0
CG1688,0.0
CG16868,0.0
CG16799,0.0
CG16798,0.0
CG16790,0.0
CG16743,0.0
CG1674,0.0
CR45825,0.0
CG16710,0.0
CG1648,0.0
CG15892,0.0
CG15890,0.0
CG15772,0.0
CG15765,0.0
CG1572,0.0
CG15631,0.0
CG15561,0.0
CG15539,0.0
CG15537,0.0
CG15536,0.0
CG1552,0.0
CG15458,0.0
CG16739,0.0
CG18336,0.0
CG18335,0.0
CG18265,0.0
CG18259,0.0
CG18213,0.0
CG18208,0.0
CG18171,0.0
CG18135,0.0
CG1812,0.0
CG18067,0.0
CG17919,0.0
CG17841,0.0
CG17803,0.0
CG17782,0.0
CG17111,0.0
CG17760,0.0
CG17724,0.0
CG17625,0.0
CG17574,0.0
CG17544,0.0
CG17514,0.0
CG17508,0.0
CG17364,0.0
CG17361,0.0
CG17271,0.0
CG17219,0.0
CG17187,0.0
CG1718,0.0
CG17169,0.0
CG17778,0.0
CG14823,0.0
CG14785,0.0
CG14762,0.0
CG14701,0.0
CG14687,0.0
CG14661,0.0
CG14645,0.0
CG14618,0.0
CG14615,0.0
CG14609,0.0
CG14589,0.0
CG14563,0.0
CG14562,0.0
CG15449,0.0
CG14509,0.0
CG14438,0.0
CG14352,0.0
CG14340,0.0
CG14302,0.0
CG14286,0.0
CG14285,0.0
CG14275,0.0
CG14259,0.0
CG14200,0.0
CG14186,0.0
CG14174,0.0
CG14141,0.0
CG14089,0.0
CG14544,0.0
CG15446,0.0
CG15439,0.0
CG15436,0.0
CG15435,0.0
CG15382,0.0
CG15373,0.0
CG15343,0.0
CG15332,0.0
CG15312,0.0
CG15239,0.0
CG15211,0.0
CG15209,0.0
CG15203,0.0
CG15201,0.0
CG14860,0.0
CG15130,0.0
CG15117,0.0
CG15107,0.0
CG15098,0.0
CG15097,0.0
CG15093,0.0
CG15065,0.0
CG15040,0.0
CG1504,0.0
CG14989,0.0
CG14961,0.0
CG14945,0.0
CG14883,0.0
CG14879,0.0
CG15160,0.0
CG32457,0.0
CG32432,0.0
CG32409,0.0
CG32407,0.0
CG32392,0.0
CG32368,0.0
CG32264,0.0
CG32260,0.0
CG32232,0.0
CG32204,0.0
CG32195,0.0
CG32150,0.0
CG32137,0.0
CG18467,0.0
CG32066,0.0
CG32052,0.0
CG32032,0.0
CG32017,0.0
CG32000,0.0
CG31935,0.0
CG31922,0.0
CG31918,0.0
CG31915,0.0
CG3191,0.0
CG31886,0.0
CG31821,0.0
CG31817,0.0
CG31814,0.0
CG32091,0.0
CG34141,0.0
CG3408,0.0
CG34041,0.0
CG34028,0.0
CG34008,0.0
CG33970,0.0
CG33926,0.0
CG33700,0.0
CG33635,0.0
CG3356,0.0
CG33543,0.0
CG33468,0.0
CG3328,0.0
CG33181,0.0
CG32506,0.0
CG33169,0.0
CG33116,0.0
CG33111,0.0
CG33090,0.0
CG3308,0.0
CG33052,0.0
CG32982,0.0
CG32856,0.0
CG32813,0.0
CG32755,0.0
CG32698,0.0
CG32683,0.0
CG32647,0.0
CG32521,0.0
CG33172,0.0
CG30428,0.0
CG30403,0.0
CG30338,0.0
CG30271,0.0
CG30197,0.0
CG30183,0.0
CG30158,0.0
CG30116,0.0
CG3009,0.0
CG30001,0.0
CG2865,0.0
CG2841,0.0
CG2772,0.0
CG31769,0.0
CG2691,0.0
CG2310,0.0
CG2269,0.0
CG2218,0.0
CG2199,0.0
CG2137,0.0
CG2124,0.0
CG2064,0.0
CG2016,0.0
CG18870,0.0
CG18628,0.0
CG18599,0.0
CG18577,0.0
CG18507,0.0
CG2698,0.0
CG31760,0.0
CG31751,0.0
CG31706,0.0
CG31705,0.0
CG3168,0.0
CG31673,0.0
CG31663,0.0
CG31648,0.0
CG3164,0.0
CG31637,0.0
CG31548,0.0
CG31523,0.0
CG31473,0.0
CG31467,0.0
CG30463,0.0
CG31381,0.0
CG31368,0.0
CG31365,0.0
CG31342,0.0
CG31324,0.0
CG31313,0.0
CG31248,0.0
CG31221,0.0
CG31200,0.0
CG31195,0.0
CG31191,0.0
CG31122,0.0
CG31111,0.0
CG31038,0.0
CG31415,0.0
bru2,0.0
brn,0.0
br,0.0
botv,0.0
bon,0.0
bol,0.0
bnl,0.0
bma,0.0
Blm,0.0
Blimp-1,0.0
bi,0.0
betaTub60D,0.0
beta-Man,0.0
CG14086,0.0
Best2,0.0
beat-VII,0.0
beat-VI,0.0
beat-IIIb,0.0
beat-IIa,0.0
beat-Ic,0.0
beat-Ib,0.0
be,0.0
bbx,0.0
bab1,0.0
B4,0.0
Axud1,0.0
axo,0.0
ATP8B,0.0
betaGlu,0.0
Cda4,0.0
Ccn,0.0
CCKLR-17D1,0.0
CCAP-R,0.0
Cbs,0.0
Cbp53E,0.0
cav,0.0
Cat,0.0
casp,0.0
CASK,0.0
capu,0.0
Capa,0.0
Calx,0.0
Cals,0.0
Bruce,0.0
cag,0.0
Cadps,0.0
cactin,0.0
cac,0.0
Ca-alpha1T,0.0
C901,0.0
c(3)G,0.0
c12.2,0.0
Bx,0.0
bw,0.0
bves,0.0
bt,0.0
bsh,0.0
brv3,0.0
cal1,0.0
Xpd,0.0
xmas-2,0.0
Xbp1,0.0
wupA,0.0
wtrw,0.0
Wsck,0.0
wrapper,0.0
28SrRNA-Psi:CR45848,0.0
Wnk,0.0
wit,0.0
whd,0.0
Wdr59,0.0
wde,0.0
atilla,0.0
Wnt4,0.0
app,0.0
Act42A,0.0
acj6,0.0
Acer,0.0
Ace,0.0
abs,0.0
Abl,0.0
ab,0.0
a,0.0
5-HT2A,0.0
5-HT1B,0.0
2mit,0.0
28SrRNA-Psi:CR45859,0.0
wake,0.0
Atf6,0.0
asun,0.0
AstC-R2,0.0
AstC,0.0
AstA-R2,0.0
ast,0.0
AsnS,0.0
ash1,0.0
arx,0.0
arr,0.0
armi,0.0
arg,0.0
Arc42,0.0
Arc2,0.0
XRCC1,0.0
APP-BP1,0.0
Adgf-C,0.0
zyd,0.0
ZnT86D,0.0
zld,0.0
Zir,0.0
Zip71B,0.0
zfh2,0.0
Zasp52,0.0
Yp3,0.0
Yp2,0.0
Yp1,0.0
yip2,0.0
yellow-c,0.0
Arc1,0.0
CG12713,0.0
CG12643,0.0
CG12617,0.0
CG12605,0.0
CG12541,0.0
CG12535,0.0
CG12499,0.0
CG12402,0.0
CG12379,0.0
CG1234,0.0
CG12267,0.0
CG12239,0.0
CG12182,0.0
CDase,0.0
CG12065,0.0
CG11911,0.0
CG11902,0.0
CG11898,0.0
