gene,frequency
GEFmeso,0.0
glob1,0.0
ssh,0.0
Srp72,0.0
Src64B,0.0
Sra-1,0.0
sr,0.0
sqz,0.0
Spt5,0.0
Sps2,0.0
SPR,0.0
Spps,0.0
spn-B,0.0
Spn77Ba,0.0
Spn43Ab,0.0
Nplp1,0.0
Spn42Da,0.0
Spn27A,0.0
Spec2,0.0
Spc105R,0.0
spartin,0.0
SPARC,0.0
spab,0.0
Sp7,0.0
SP1173,0.0
SP1029,0.0
Sp1,0.0
SoxN,0.0
Sox21b,0.0
Sox21a,0.0
Spn42De,0.0
Taf7,0.0
Taf1,0.0
tadr,0.0
Sytbeta,0.0
Sytalpha,0.0
Syp,0.0
sws,0.0
svp,0.0
Svil,0.0
sv,0.0
Su(z)2,0.0
su(w[a]),0.0
Su(var)3-9,0.0
ssp7,0.0
sut1,0.0
su(sable),0.0
Surf6,0.0
Sulf1,0.0
su(Hw),0.0
sud1,0.0
sty,0.0
stumps,0.0
Strn-Mlck,0.0
step,0.0
Start1,0.0
stai,0.0
ST6Gal,0.0
St3,0.0
Su(var)3-7,0.0
sli,0.0
SLC22A,0.0
S-Lap1,0.0
sky,0.0
sktl,0.0
skl,0.0
SKIP,0.0
SK,0.0
Sirup,0.0
Sirt7,0.0
simj,0.0
SIFaR,0.0
SIFa,0.0
Sox102F,0.0
sick,0.0
Shroom,0.0
shg,0.0
Shawl,0.0
shakB,0.0
Sesn,0.0
SerT,0.0
Sema2b,0.0
Sema1b,0.0
Sec63,0.0
Sec31,0.0
Sec10,0.0
sdk,0.0
Sdc,0.0
side,0.0
sosie,0.0
Sos,0.0
Sod3,0.0
Socs16D,0.0
Sobp,0.0
Snx16,0.0
snRNA:U4:38AB,0.0
sNPF-R,0.0
sNPF,0.0
Snp,0.0
snoRNA:Psi28S-2442a,0.0
snoRNA:Or-CD2,0.0
SNF4Agamma,0.0
Slik,0.0
SmydA-4,0.0
Smyd4-4,0.0
Smyd4-1,0.0
Smurf,0.0
SMSr,0.0
smo,0.0
SmD3,0.0
SMC5,0.0
SMC3,0.0
