gene,frequency
Ugt86Da,0.0
Ugt35b,0.0
TyrR,0.0
tx,0.0
twz,0.0
2mit,0.0
arx,0.0
aru,0.0
Arr2,0.0
Arr1,0.0
Argk,0.0
Uhg7,0.0
tfc,0.0
TfAP-2,0.0
tey,0.0
Tet,0.0
teq,0.0
Tep4,0.0
Tep3,0.0
Tep2,0.0
Tep1,0.0
Ten-m,0.0
Tbh,0.0
tara,0.0
Tab2,0.0
Tsp42Ea,0.0
T3dh,0.0
Sytalpha,0.0
Syp,0.0
sxe2,0.0
Swim,0.0
svp,0.0
Svil,0.0
Su(z)12,0.0
sut2,0.0
su(r),0.0
su(Hw),0.0
sug,0.0
sty,0.0
stv,0.0
T48,0.0
Tsp,0.0
tsl,0.0
tsh,0.0
Tsf1,0.0
trpl,0.0
trp,0.0
trol,0.0
trn,0.0
TrissinR,0.0
trio,0.0
Trim9,0.0
Trf4-2,0.0
Treh,0.0
TfIIA-S-2,0.0
TotC,0.0
Toll-7,0.0
Toll-6,0.0
tok,0.0
tn,0.0
tld,0.0
Tl,0.0
Tk,0.0
tj,0.0
tinc,0.0
Timp,0.0
tim,0.0
Thor,0.0
tHMG2,0.0
toy,0.0
Nse1,0.0
nrv2,0.0
nrv1,0.0
nrm,0.0
Nplp2,0.0
Nplp1,0.0
Npc2h,0.0
Npc2g,0.0
Npc2a,0.0
Notum,0.0
Nos,0.0
norpA,0.0
nopo,0.0
RpL7A,0.0
nod,0.0
noc,0.0
nmo,0.0
Nlg3,0.0
NLaz,0.0
nkd,0.0
NKCC,0.0
NK7.1,0.0
ninaE,0.0
ninaC,0.0
ninaA,0.0
Neto,0.0
NetB,0.0
NetA,0.0
nolo,0.0
Orc1,0.0
Or9a,0.0
Or67d,0.0
Or22c,0.0
Optix,0.0
opa,0.0
ome,0.0
olf186-M,0.0
ogre,0.0
Oct-TyrR,0.0
Octbeta3R,0.0
Octbeta2R,0.0
Octbeta1R,0.0
Nufip,0.0
Obp8a,0.0
Obp83g,0.0
Obp83a,0.0
Obp69a,0.0
Obp56e,0.0
Obp56d,0.0
Obp19d,0.0
Obp18a,0.0
Oatp33Ea,0.0
Oat,0.0
Oamb,0.0
oaf,0.0
nxf2,0.0
nvy,0.0
Obp99c,0.0
mt:ND2,0.0
mt:ND1,0.0
MtnB,0.0
MtnA,0.0
mthl5,0.0
mthl10,0.0
MTF-1,0.0
mtDNA-helicase,0.0
mtd,0.0
Mst89B,0.0
Mst36Fb,0.0
Msr-110,0.0
mspo,0.0
net,0.0
msi,0.0
Ms,0.0
MRP,0.0
MRE23,0.0
Mpcp1,0.0
Mp20,0.0
Mp,0.0
Moe,0.0
mnd,0.0
Mms19,0.0
Mmp2,0.0
Mlp84B,0.0
Mlc1,0.0
mkg-p,0.0
msl-1,0.0
Nep1,0.0
nec,0.0
Ndae1,0.0
Nckx30C,0.0
natalisin,0.0
NANS,0.0
nan,0.0
nAChRalpha7,0.0
nAChRalpha6,0.0
nAChRalpha5,0.0
nAChRalpha1,0.0
N,0.0
MYPT-75D,0.0
mt:ND3,0.0
myo,0.0
mus308,0.0
mus201,0.0
Muc91C,0.0
Muc14A,0.0
Muc12Ea,0.0
mub,0.0
mt:tRNA:Tyr-GTA,0.0
mt:tRNA:Leu-TAG,0.0
mt:tRNA:Cys-GCA,0.0
mt:tRNA:Ala-TGC,0.0
mtt,0.0
mt:srRNA,0.0
mt:ND6,0.0
Myo10A,0.0
rdgC,0.0
rdgA,0.0
Rcd6,0.0
Rbp9,0.0
Rbp6,0.0
Rbp1-like,0.0
Rassf,0.0
RapGAP1,0.0
Rad51D,0.0
rad,0.0
Rack1,0.0
Rac2,0.0
Rab32,0.0
Orcokinin,0.0
pyr,0.0
pygo,0.0
pyd,0.0
Pxn,0.0
PVRAP,0.0
Pvf2,0.0
Ptth,0.0
Ptp99A,0.0
Ptp69D,0.0
Ptip,0.0
ptc,0.0
Psf1,0.0
pros,0.0
Proc,0.0
Rab27,0.0
RpL39,0.0
RpL27,0.0
RpL22,0.0
roX1,0.0
rols,0.0
robo2,0.0
RnrL,0.0
RluA-1,0.0
RhoL,0.0
RhoGEF4,0.0
RhoGEF2,0.0
RhoGAP54D,0.0
RhoGAP15B,0.0
rdo,0.0
rho,0.0
Rh7,0.0
Rh6,0.0
Rh50,0.0
Rh5,0.0
Rh4,0.0
Rh3,0.0
rgn,0.0
Rgk3,0.0
Rgk1,0.0
Rfx,0.0
retn,0.0
repo,0.0
RecQ4,0.0
RhoGAP102A,0.0
phr,0.0
Phf7,0.0
pHCl-1,0.0
PGRP-SB1,0.0
PGRP-SA,0.0
pgant4,0.0
pes,0.0
peb,0.0
pdm3,0.0
Pdk,0.0
Pdh,0.0
pdgy,0.0
Pdfr,0.0
Prip,0.0
Pde6,0.0
Pde1c,0.0
Pde11,0.0
Pcyt2,0.0
pain,0.0
ovo,0.0
otp,0.0
otk2,0.0
Osi3,0.0
Osi2,0.0
Oseg6,0.0
Oseg2,0.0
ort,0.0
org-1,0.0
Pde9,0.0
pre-rRNA:CR45847,0.0
pre-rRNA:CR45845,0.0
pre-lola-G,0.0
Prat2,0.0
Prat,0.0
ppk27,0.0
ppk26,0.0
ppk21,0.0
ppk13,0.0
Pph13,0.0
Pp1-13C,0.0
Poxn,0.0
pot,0.0
Picot,0.0
polo,0.0
Poc1,0.0
ple,0.0
Pld,0.0
Pkn,0.0
Pkg21D,0.0
Pkc53E,0.0
Pka-C3,0.0
Pka-C1,0.0
PK2-R2,0.0
pk,0.0
PIP82,0.0
pinta,0.0
Piezo,0.0
POSH,0.0
CG16947,0.0
CG1688,0.0
CG16799,0.0
CG16798,0.0
CG16743,0.0
CG16739,0.0
