gene,frequency
Snap25,0.0
SmydA-3,0.0
smp-30,0.0
smid,0.0
SmF,0.0
SMC5,0.0
sm,0.0
slp2,0.0
slp1,0.0
slou,0.0
slo,0.0
Slimp,0.0
SLC5A11,0.0
Slc45-1,0.0
sens-2,0.0
Skp2,0.0
Ski6,0.0
SK,0.0
Sirup,0.0
SIFa,0.0
sif,0.0
side,0.0
shi,0.0
shep,0.0
shams,0.0
shakB,0.0
SH3PX1,0.0
Sh,0.0
serp,0.0
sky,0.0
Antp,0.0
Ank2,0.0
Ance-4,0.0
Ance,0.0
ana1,0.0
ana,0.0
amn,0.0
Ama,0.0
alrm,0.0
alphaTub67C,0.0
alphagamma-element:CR32865,0.0
alpha-Est7,0.0
Alp4,0.0
stg,0.0
AlaRS,0.0
Akh,0.0
Akap200,0.0
Ak6,0.0
AhcyL2,0.0
Ahcy,0.0
wbl,0.0
AGO3,0.0
Ag5r,0.0
ade3,0.0
ade2,0.0
Adck,0.0
twz,0.0
twit,0.0
Aldh,0.0
vvl,0.0
Vsx2,0.0
vri,0.0
Vps13,0.0
Vmat,0.0
vilya,0.0
VhaM9.7-a,0.0
Vha16-5,0.0
VGlut,0.0
verm,0.0
ver,0.0
vas,0.0
ValRS-m,0.0
VAChT,0.0
AOX3,0.0
Urm1,0.0
Upf2,0.0
Upf1,0.0
up,0.0
unc-13-4A,0.0
unc-13,0.0
Uhg8,0.0
Ugt86Dd,0.0
Ugt86Da,0.0
Ugt35b,0.0
Ude,0.0
U26,0.0
TyrRII,0.0
18w,0.0
v,0.0
tey,0.0
Tet,0.0
teq,0.0
Tep2,0.0
Ten-a,0.0
Tdc2,0.0
Tcs3,0.0
Tbc1d15-17,0.0
Taz,0.0
tara,0.0
Taf7,0.0
Taf2,0.0
TAF1B,0.0
TwdlT,0.0
Syt7,0.0
Syt1,0.0
Sym,0.0
Swim,0.0
svp,0.0
Svil,0.0
sv,0.0
sut2,0.0
su(sable),0.0
Sugb,0.0
subdued,0.0
sty,0.0
Strn-Mlck,0.0
stl,0.0
Syx1A,0.0
tutl,0.0
Tsp5D,0.0
Tsp42El,0.0
Tsp42Eg,0.0
Tsp42Ea,0.0
Tsp,0.0
trv,0.0
trpl,0.0
TrpA1,0.0
trn,0.0
Trh,0.0
Tret1-1,0.0
Tre1,0.0
Tps1,0.0
tfc,0.0
TpnC25D,0.0
toy,0.0
TotM,0.0
Top3alpha,0.0
tomboy40,0.0
Toll-7,0.0
Toll-6,0.0
Tk,0.0
tin,0.0
Timp,0.0
Tim10,0.0
tim,0.0
Thor,0.0
Tgt,0.0
TpnC73F,0.0
nmdyn-D7,0.0
Nlg3,0.0
NKCC,0.0
ninaE,0.0
ninaA,0.0
NimC2,0.0
NimB5,0.0
NimB4,0.0
NimB2,0.0
NimA,0.0
NijC,0.0
NijA,0.0
Neurochondrin,0.0
roX2,0.0
Neto,0.0
Nep2,0.0
Nep1,0.0
nemy,0.0
nec,0.0
ND-51L1,0.0
Nckx30C,0.0
NaPi-III,0.0
nahoda,0.0
NaCP60E,0.0
nAChRbeta3,0.0
nAChRbeta1,0.0
nAChRalpha7,0.0
nAChRalpha6,0.0
neur,0.0
Oat,0.0
nw,0.0
Nup93-2,0.0
Nup214,0.0
Nup160,0.0
NtR,0.0
Ntmt,0.0
Ntf-2r,0.0
NT5E-2,0.0
nSyb,0.0
Ns3,0.0
nrv2,0.0
Nprl2,0.0
Nplp2,0.0
nmo,0.0
Npc2h,0.0
Npc2g,0.0
Npc2f,0.0
Npc2b,0.0
Npc2a,0.0
Nox,0.0
Notum,0.0
Nos,0.0
nopo,0.0
Nop60B,0.0
Nop56,0.0
nom,0.0
nol,0.0
noe,0.0
Nplp1,0.0
Ms,0.0
Mrp4,0.0
MRP,0.0
Mpcp1,0.0
Mp20,0.0
MP1,0.0
mof,0.0
Mob2,0.0
mnd,0.0
Mmp2,0.0
mlt,0.0
Mlp60A,0.0
Mkp3,0.0
nAChRalpha5,0.0
miple2,0.0
miple1,0.0
Mip,0.0
MICAL-like,0.0
mgl,0.0
MFS9,0.0
MFS14,0.0
mfas,0.0
Mf,0.0
Membrin,0.0
mei-P26,0.0
Mec2,0.0
mdy,0.0
Mdr65,0.0
Mipp1,0.0
Naam,0.0
Naa40,0.0
N,0.0
MYPT-75D,0.0
Myo31DF,0.0
mxc,0.0
mute,0.0
mus205,0.0
Mur2B,0.0
mud,0.0
Muc14A,0.0
mt:tRNA:Val-TAC,0.0
mt:tRNA:Tyr-GTA,0.0
mt:tRNA:Trp-TCA,0.0
msb1l,0.0
mt:tRNA:Leu-TAG,0.0
mt:tRNA:Ile-GAT,0.0
mt:tRNA:Gly-TCC,0.0
mt:tRNA:Cys-GCA,0.0
Mtor,0.0
MtnE,0.0
MtnA,0.0
mthl9,0.0
MTF-1,0.0
mtDNA-helicase,0.0
Mt2,0.0
mst,0.0
Msr-110,0.0
mspo,0.0
mt:tRNA:Lys-CTT,0.0
Rcd6,0.0
Rbp9,0.0
Rbp6,0.0
rau,0.0
Rat1,0.0
RasGAP1,0.0
rad,0.0
Rac2,0.0
Rab27,0.0
qvr,0.0
QC,0.0
pyr,0.0
pyd,0.0
Oatp74D,0.0
Pvf3,0.0
Pvf2,0.0
pum,0.0
Ptx1,0.0
Ptp99A,0.0
Ptp69D,0.0
Ptp4E,0.0
Ptp36E,0.0
Ptip,0.0
ptc,0.0
Prx2540-2,0.0
Prx2540-1,0.0
Prosap,0.0
Prosalpha1,0.0
Pxn,0.0
roX1,0.0
rost,0.0
rols,0.0
RnrS,0.0
RnrL,0.0
RNaseP:RNA,0.0
RluA-2,0.0
Rint1,0.0
Rim,0.0
rictor,0.0
Ric,0.0
RhoL,0.0
RhoGEF64C,0.0
RhoGEF4,0.0
rdhB,0.0
RhoGAP15B,0.0
rhi,0.0
Rh7,0.0
Rh6,0.0
Rh50,0.0
Rh2,0.0
Rgk1,0.0
Rfx,0.0
Rev1,0.0
retn,0.0
Ret,0.0
Rel,0.0
RecQ4,0.0
Rdl,0.0
RhoGAP54D,0.0
Pde6,0.0
Pde1c,0.0
Pdcd4,0.0
Pcyt2,0.0
Pbp95,0.0
pb,0.0
para,0.0
P5CDh2,0.0
p38a,0.0
Oxp,0.0
otp,0.0
Oseg2,0.0
ort,0.0
pros,0.0
org-1,0.0
Orct,0.0
Orc1,0.0
Optix,0.0
opa,0.0
olf413,0.0
olf186-M,0.0
ogre,0.0
Octbeta1R,0.0
obst-E,0.0
Obp99c,0.0
Obp99a,0.0
Obp8a,0.0
Obp19d,0.0
Ork1,0.0
Prip,0.0
pre-rRNA:CR45856,0.0
pre-rRNA:CR45847,0.0
pre-lola-G,0.0
Ppn,0.0
ppk26,0.0
ppk13,0.0
Poxn,0.0
Poc1,0.0
pnt,0.0
pncr002:3R,0.0
ple,0.0
Pkn,0.0
Pkc53E,0.0
Pdh,0.0
pirk,0.0
pio,0.0
Pif1A,0.0
Pif1,0.0
pie,0.0
Picot,0.0
phr6-4,0.0
PH4alphaNE1,0.0
PGRP-SB1,0.0
PGRP-SA,0.0
PGRP-LD,0.0
Pen,0.0
PEK,0.0
Pdk,0.0
Pka-C3,0.0
CG15537,0.0
CG15536,0.0
CG15529,0.0
CG1552,0.0
CG15506,0.0
CG15497,0.0
CG15484,0.0
CG15459,0.0
CG1545,0.0
CG15449,0.0
CG15436,0.0
CG15399,0.0
CG1537,0.0
CG15356,0.0
CR44442,0.0
CG1529,0.0
CG15279,0.0
CG15211,0.0
CG15210,0.0
CG15203,0.0
CG15202,0.0
CG15201,0.0
CG15196,0.0
CG15130,0.0
CG15098,0.0
CG15096,0.0
CG15083,0.0
CG15073,0.0
CG15071,0.0
CG15343,0.0
CG17032,0.0
CG1698,0.0
CG16978,0.0
CG16972,0.0
CG1688,0.0
CG16826,0.0
CG16758,0.0
CG16749,0.0
CG16743,0.0
CG16736,0.0
CG1673,0.0
CG16700,0.0
CG1667,0.0
CG1648,0.0
CG15561,0.0
CG15890,0.0
CG15879,0.0
CG15818,0.0
CG15765,0.0
CG15739,0.0
CG1572,0.0
CG15701,0.0
CG15674,0.0
CG15673,0.0
CG15661,0.0
CG15643,0.0
CG15629,0.0
CG15628,0.0
CG1561,0.0
CG15914,0.0
CG14291,0.0
CG14275,0.0
CG14237,0.0
CG14183,0.0
CG14153,0.0
CG14141,0.0
CG14132,0.0
CG14074,0.0
CG14022,0.0
CG1402,0.0
CG13947,0.0
CG13928,0.0
CG13917,0.0
CG13907,0.0
CG15067,0.0
CG13877,0.0
CG13868,0.0
CG13856,0.0
CG13833,0.0
CG13748,0.0
CG13741,0.0
CG13739,0.0
CG13737,0.0
CG13716,0.0
CG13698,0.0
CG13640,0.0
CG13639,0.0
CG13616,0.0
CG13611,0.0
CG13896,0.0
CG15040,0.0
CG15034,0.0
CG15014,0.0
CG14984,0.0
CG14961,0.0
CG14879,0.0
CG14864,0.0
CG14860,0.0
CG14814,0.0
CG14752,0.0
CG14696,0.0
CG14687,0.0
CG14661,0.0
CG14645,0.0
CG14305,0.0
CG14630,0.0
CG14629,0.0
CG14625,0.0
CG14615,0.0
CG14572,0.0
CG14569,0.0
CG14567,0.0
CG14565,0.0
CG14516,0.0
CG14509,0.0
CG14459,0.0
CG14457,0.0
CG14445,0.0
CG14331,0.0
CG14636,0.0
CG31469,0.0
CG31467,0.0
CG31373,0.0
CG31365,0.0
CG31344,0.0
CG31313,0.0
CG31288,0.0
CG31272,0.0
CG31248,0.0
CG31235,0.0
CG31221,0.0
CG31200,0.0
CG31174,0.0
CG31161,0.0
CG17108,0.0
CG31030,0.0
CG31028,0.0
CG30466,0.0
CG30463,0.0
CG30460,0.0
CG3045,0.0
CG30440,0.0
CG30432,0.0
CG30383,0.0
CG3036,0.0
CG3032,0.0
CG30285,0.0
CG30203,0.0
CG30195,0.0
CG31075,0.0
CG32444,0.0
CG32368,0.0
CG32365,0.0
CG32354,0.0
CG32264,0.0
CG32260,0.0
CG32170,0.0
CG32104,0.0
CG32036,0.0
CG32032,0.0
CG32017,0.0
CG31997,0.0
CG31955,0.0
CG31869,0.0
CG31612,0.0
CG31814,0.0
CG31809,0.0
CG31778,0.0
CG31777,0.0
CG31769,0.0
CG31759,0.0
CG31706,0.0
CG31690,0.0
CG3168,0.0
CG31676,0.0
CG31675,0.0
CG31674,0.0
CG31663,0.0
CG31626,0.0
CG31815,0.0
CG18367,0.0
CG18281,0.0
CG18190,0.0
CG18178,0.0
CG18171,0.0
CG1809,0.0
CG18067,0.0
CG18011,0.0
CG1801,0.0
CG1792,0.0
CG17839,0.0
CG17802,0.0
CG17786,0.0
CG17777,0.0
CG30172,0.0
CG17646,0.0
CG1764,0.0
CG17549,0.0
CG17350,0.0
CG17278,0.0
CG17265,0.0
CG17264,0.0
CG17258,0.0
CG1722,0.0
CG17219,0.0
CG17211,0.0
CG17193,0.0
CG17187,0.0
CG17121,0.0
CG17716,0.0
CG30157,0.0
CG30108,0.0
CG30105,0.0
CG30101,0.0
CG30099,0.0
CG3009,0.0
CG30054,0.0
CG30015,0.0
CG2982,0.0
CG2930,0.0
CG2898,0.0
CG2852,0.0
CG2839,0.0
CG2781,0.0
CG18467,0.0
CG2617,0.0
CG2533,0.0
CG2444,0.0
CG2321,0.0
CG2310,0.0
CG2269,0.0
CG2254,0.0
CG2233,0.0
CG2202,0.0
CG2145,0.0
CG2082,0.0
CG2016,0.0
CG18598,0.0
CG18596,0.0
CG18557,0.0
CG2652,0.0
bun,0.0
BTBD9,0.0
bt,0.0
bsh,0.0
Bsg,0.0
bru3,0.0
br,0.0
bond,0.0
bol,0.0
bnl,0.0
bnb,0.0
bmm,0.0
bip1,0.0
bi,0.0
CG13606,0.0
betaTub60D,0.0
betaTub56D,0.0
beta-Man,0.0
Best1,0.0
beat-VI,0.0
beat-IIIc,0.0
beat-IIIb,0.0
beat-IIa,0.0
beat-Ic,0.0
bbc,0.0
bb8,0.0
baz,0.0
bap,0.0
babos,0.0
B-H2,0.0
CenG1A,0.0
Cdk1,0.0
cDIP,0.0
CdGAPr,0.0
Cdc6,0.0
Cda9,0.0
Cda4,0.0
CCT7,0.0
CCT5,0.0
CCT2,0.0
Ccp84Ag,0.0
CCHa2,0.0
CCAP,0.0
CBP,0.0
bw,0.0
Cat,0.0
capu,0.0
Cap-H2,0.0
Capa,0.0
CanB,0.0
CaMKII,0.0
Cam,0.0
CAHbeta,0.0
CAH1,0.0
Caf1-180,0.0
cac,0.0
Ca-alpha1T,0.0
c(3)G,0.0
Bx,0.0
caup,0.0
xmas-1,0.0
wupA,0.0
wun2,0.0
wun,0.0
wtrw,0.0
Wsck,0.0
wrapper,0.0
28SrRNA-Psi:CR40741,0.0
Wnt4,0.0
Wnt10,0.0
whe,0.0
Whamy,0.0
wek,0.0
Wdr24,0.0
Axs,0.0
Wnt6,0.0
apolpp,0.0
Unc-115b,0.0
Adat1,0.0
Ada2b,0.0
Act5C,0.0
Act57B,0.0
Act42A,0.0
acj6,0.0
Ac78C,0.0
aay,0.0
a10,0.0
7B2,0.0
5-HT1A,0.0
wdp,0.0
axo,0.0
AttC,0.0
AttB,0.0
ATPsynepsilonL,0.0
atilla,0.0
Atf3,0.0
AstC,0.0
AsnS,0.0
arx,0.0
Art2,0.0
Arr2,0.0
armi,0.0
arg,0.0
Appl,0.0
XRCC1,0.0
zyd,0.0
zormin,0.0
zld,0.0
Zip88E,0.0
Zip48C,0.0
zfh1,0.0
Zasp52,0.0
Yp3,0.0
Yp2,0.0
yip7,0.0
yin,0.0
yellow-h,0.0
yellow-g,0.0
yellow-b,0.0
agt,0.0
CG12730,0.0
CG12698,0.0
CG12594,0.0
CG12535,0.0
CG12428,0.0
CG12420,0.0
CG12344,0.0
CG12267,0.0
CG12256,0.0
CG12239,0.0
CG12134,0.0
CG1213,0.0
CG12116,0.0
CG12112,0.0
CG10031,0.0
CG12018,0.0
CG11920,0.0
CG11905,0.0
CG11892,0.0
CG11852,0.0
CG11839,0.0
CG11835,0.0
CG11825,0.0
CG11700,0.0
CG11686,0.0
CG11635,0.0
CG11617,0.0
CG11594,0.0
CG1146,0.0
CG12075,0.0
CG1360,0.0
CG1358,0.0
CG13578,0.0
CG13516,0.0
CG13377,0.0
CG13373,0.0
CG13360,0.0
CG13315,0.0
CG13203,0.0
CG13202,0.0
CG13192,0.0
CG13185,0.0
CG13168,0.0
CG13117,0.0
CG12766,0.0
CG13082,0.0
CG13077,0.0
CG13067,0.0
CG13054,0.0
CG13012,0.0
CG13003,0.0
CG12992,0.0
CG12991,0.0
CG12909,0.0
CG12896,0.0
CG12877,0.0
CG12868,0.0
CG12863,0.0
CG12824,0.0
CG13096,0.0
CG10702,0.0
CG10663,0.0
CG10657,0.0
CG10638,0.0
CG10621,0.0
CG10560,0.0
CG10553,0.0
CG10550,0.0
CG10527,0.0
CG10513,0.0
CG10479,0.0
CG10469,0.0
CG10466,0.0
CG10463,0.0
CG11438,0.0
CG10445,0.0
CG10444,0.0
CG10418,0.0
CG10383,0.0
CG10376,0.0
CG10353,0.0
CG10352,0.0
CG10274,0.0
CG10268,0.0
CG10226,0.0
CG10217,0.0
CG10205,0.0
CG10195,0.0
CG10077,0.0
CG10462,0.0
CG11426,0.0
CG11425,0.0
CG11413,0.0
CG11407,0.0
CG11391,0.0
CG11378,0.0
CG1136,0.0
CG11334,0.0
CG11313,0.0
CG11307,0.0
CG11294,0.0
CG1124,0.0
CG11180,0.0
CG11170,0.0
CG10725,0.0
